Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,DispatchNs,BeginNs,EndNs,CompleteNs
113,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,159,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300420713545,5233300443974104,5233300444024664,5233300444026351
114,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,160,258074,258074,4194304,256,61440,0,128,16,48,64,0x0,0x7f81fbf18680,5233300420764730,5233300444024520,5233300466973943,5233300466978943
115,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,161,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300420775901,5233300466973943,5233300467151061,5233300467152337
116,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,162,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300420784588,5233300467151061,5233300467200341,5233300467201599
117,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,163,258074,258074,4194304,256,61440,0,128,16,48,64,0x0,0x7f81fbf18680,5233300420833138,5233300467200341,5233300490153444,5233300490155194
118,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,164,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300420845522,5233300490153444,5233300490332644,5233300490333928
119,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,165,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300420853757,5233300490332644,5233300490380484,5233300490381727
120,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,166,258074,258074,4194304,256,61440,0,128,16,48,64,0x0,0x7f81fbf18680,5233300420918648,5233300490380484,5233300513351187,5233300513352684
121,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,167,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300420932063,5233300513351187,5233300513526547,5233300513527902
122,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,168,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300420940700,5233300513526547,5233300513576627,5233300513577755
