Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
24,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,34,257468,257468,1048576,256,61440,0,128,16,48,64,0x0,0x7f5ca5c78680,37261856,37261856,16384,159252480,23714721507,176666603200,5233287725655967,5233299592509401,5233299615215928,5233287839206170
25,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,36,257468,257468,1048576,256,40960,0,112,16,32,64,0x0,0x7f5ca5c18680,37479085,37479085,16384,152666112,23852176060,177603503803,5233287847357377,5233299623270154,5233299646094760,5233287870387644
26,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,39,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,308199,308199,250000,2000000,188802904,1422103888,5233287870405848,5233299646190920,5233299646366760,5233287870792872
27,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,40,257468,257468,1048576,256,40960,0,112,16,32,64,0x0,0x7f5ca5c18680,37497056,37497056,16384,152666112,23867562772,177703557371,5233287870674882,5233299646366760,5233299669201926,5233287893728853
28,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,41,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,320890,320890,250000,2000000,194443267,1458738044,5233287870774708,5233299669201926,5233299669378406,5233287893875868
29,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,42,257468,257468,1048576,256,40960,0,112,16,32,64,0x0,0x7f5ca5c18680,37479410,37479410,16384,152666112,23854620514,177607079407,5233287870927243,5233299669378548,5233299692213240,5233287916740586
30,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,43,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,315649,315649,250000,2000000,191258111,1435365909,5233287871034174,5233299692213240,5233299692390038,5233287916948104
31,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,44,257468,257468,1048576,256,40960,0,112,16,32,64,0x0,0x7f5ca5c18680,37494914,37494914,16384,152666112,23865089635,177687040208,5233287871168715,5233299692390038,5233299715232570,5233287939819545
32,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,45,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,318887,318887,250000,2000000,193198976,1449766229,5233287871279422,5233299715232570,5233299715407609,5233287940031091
33,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,46,257468,257468,1048576,256,40960,0,112,16,32,64,0x0,0x7f5ca5c18680,37479248,37479248,16384,152666112,23855783617,177619160980,5233287871435925,5233299715407609,5233299738231581,5233287962892903
34,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,47,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,318501,318501,250000,2000000,193155419,1449495981,5233287871525723,5233299738231581,5233299738406780,5233287963105020
35,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,48,257468,257468,1048576,256,40960,0,112,16,32,64,0x0,0x7f5ca5c18680,37480649,37480649,16384,152666112,23850784906,177571617231,5233287871654193,5233299738406752,5233299761234723,5233287985970360
36,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,50,257468,257468,1048576,256,40960,0,112,16,32,64,0x0,0x7f5ca5c18680,37484156,37484156,16384,152666112,23859302008,177642874357,5233287986092588,5233299761336481,5233299784171172,5233288009131632
37,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,51,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,324579,324579,250000,2000000,197000067,1477695503,5233287986232680,5233299784171172,5233299784347331,5233288009281262
38,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,53,257468,257468,1048576,256,40960,0,112,16,32,64,0x0,0x7f5ca5c18680,37490731,37490731,16384,152666112,23857800388,177638522602,5233287986395214,5233299784360611,5233299807175142,5233288032156480
39,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,55,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,312377,312377,250000,2000000,189059045,1419218387,5233287986518204,5233299807186022,5233299807363621,5233288032371862
40,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,57,257468,257468,1048576,256,40960,0,112,16,32,64,0x0,0x7f5ca5c18680,37478559,37478559,16384,152666112,23853143453,177595160949,5233287986677502,5233299807376112,5233299830208568,5233288055241670
41,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,59,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,312619,312619,250000,2000000,189443201,1422028508,5233287986795934,5233299830219606,5233299830396726,5233288055452585
42,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,61,257468,257468,1048576,256,40960,0,112,16,32,64,0x0,0x7f5ca5c18680,37473348,37473348,16384,152666112,23848519074,177563189478,5233287986954711,5233299830408886,5233299853232062,5233288078317062
43,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,63,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,311383,311383,250000,2000000,188283605,1413396464,5233287987072461,5233299853242782,5233299853418942,5233288078531714
44,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,65,257468,257468,1048576,256,40960,0,112,16,32,64,0x0,0x7f5ca5c18680,37483566,37483566,16384,152666112,23858506325,177638025731,5233287987228273,5233299853430942,5233299876258757,5233288101400990
45,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,67,257468,257468,4194304,256,0,0,4,4,16,64,0x0,0x7f5ca4f998c0,92318,92318,65536,524288,51214317,389607576,5233288101630189,5233299876462917,5233299876511557,5233288101818942
46,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,68,257468,257468,2097152,256,61440,0,128,16,48,64,0x0,0x7f5ca5c08680,37069895,37069895,32768,161611776,23599385276,175858299945,5233288107553147,5233299882445318,5233299905041143,5233288130335080
47,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,71,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,308473,308473,250000,2000000,188746382,1422902652,5233288130349567,5233299905118261,5233299905303701,5233288130737573
48,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,72,257468,257468,4194304,256,0,0,4,4,16,64,0x0,0x7f5ca4f998c0,104387,104387,65536,524288,57618631,437565867,5233288130560432,5233299905303701,5233299905355861,5233288130868148
49,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,73,257468,257468,2097152,256,61440,0,128,16,48,64,0x0,0x7f5ca5c08680,37071167,37071167,32768,161611776,23596457499,175835662687,5233288130718898,5233299905355861,5233299927952006,5233288153517723
50,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,74,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,309931,309931,250000,2000000,187608068,1408572045,5233288130842319,5233299927952006,5233299928132486,5233288153658707
51,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,75,257468,257468,4194304,256,0,0,4,4,16,64,0x0,0x7f5ca4f998c0,105597,105597,65536,524288,57485441,430979954,5233288131033156,5233299928132486,5233299928184486,5233288153771217
52,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,76,257468,257468,2097152,256,61440,0,128,16,48,64,0x0,0x7f5ca5c08680,37035909,37035909,32768,161611776,23574552167,175669675479,5233288131172297,5233299928184486,5233299950762710,5233288176361191
53,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,77,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,318527,318527,250000,2000000,193063359,1448664654,5233288131264719,5233299950762710,5233299950939350,5233288176572246
54,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,78,257468,257468,4194304,256,0,0,4,4,16,64,0x0,0x7f5ca4f998c0,106151,106151,65536,524288,57516159,431249366,5233288131349588,5233299950939350,5233299950987510,5233288176654600
