Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
203,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,282,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,101678,101678,14567,813432,65536,60447323,689504,0,243577992,5233295345123855,5233301208487575,5233301208537494,5233295345413287
204,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,283,257775,257775,8388608,256,40960,0,116,20,32,64,0x0,0x7f91e3b88680,38298791,38298791,132710,306390336,131072,3918793028,306218713,0,15678646124,5233295345274687,5233301208537494,5233301231882756,5233295368860805
205,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,284,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,310578,310578,16604,2484632,250000,197869716,2340511,0,798301172,5233295345377410,5233301231882756,5233301232060196,5233295369008902
206,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,285,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,103323,103323,16922,826592,65536,58120522,686001,0,234266972,5233295345590208,5233301232060196,5233301232108996,5233295369122124
207,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,286,257775,257775,8388608,256,40960,0,116,20,32,64,0x0,0x7f91e3b88680,38270237,38270237,133497,306161904,131072,3911789245,305972158,0,15650631384,5233295345731472,5233301232109026,5233301255421969,5233295392491365
208,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,287,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,317369,317369,16311,2538960,250000,200604758,2396309,0,809230656,5233295345829636,5233301255421969,5233301255599247,5233295392705546
209,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,288,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,107642,107642,16403,861144,65536,62080853,723635,0,250111572,5233295345918081,5233301255599247,5233301255648687,5233295392796255
210,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,289,257775,257775,8388608,256,40960,0,116,20,32,64,0x0,0x7f91e3b88680,38165403,38165403,134842,305323232,131072,3914859695,304971215,0,15662914380,5233295346062301,5233301255648687,5233301278990910,5233295416119501
211,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,290,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,321004,321004,16965,2568040,250000,197359500,2430821,0,796258192,5233295346171886,5233301278990910,5233301279167389,5233295416339603
212,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,291,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,105978,105978,16115,847832,65536,60408753,710490,0,243424360,5233295346262926,5233301279167389,5233301279215709,5233295416430373
213,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,292,257775,257775,8388608,256,40960,0,116,20,32,64,0x0,0x7f91e3b88680,38237230,38237230,133040,305897848,131072,3922590131,305716800,0,15693835948,5233295346401575,5233301279215709,5233301302487532,5233295439794905
214,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,293,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,315084,315084,15619,2520680,250000,194266871,2387403,0,783870460,5233295346496713,5233301302487532,5233301302667852,5233295440011220
215,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,294,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,106157,106157,16386,849264,65536,59225566,710290,0,238690672,5233295346581001,5233301302667852,5233301302716012,5233295440099395
216,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,295,257775,257775,8388608,256,40960,0,116,20,32,64,0x0,0x7f91e3b88680,38205620,38205620,133014,305644968,131072,3917125721,305467282,0,15671977172,5233295346734288,5233301302716207,5233301326031712,5233295463449491
217,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,297,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,90553,90553,13853,724432,65536,50402019,613855,0,203394684,5233295463528288,5233301326101470,5233301326148670,5233295463742589
218,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,298,257775,257775,8388608,256,40960,0,116,20,32,64,0x0,0x7f91e3b88680,38150443,38150443,131183,305203552,131072,3912328002,304882225,0,15652788008,5233295463750484,5233301326170270,5233301349480975,5233295487275126
219,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,299,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,317295,317295,15951,2538368,250000,203671065,2400417,0,821490580,5233295463935911,5233301349480975,5233301349662575,5233295487431268
220,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,301,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,101003,101003,16322,808032,65536,58549118,670123,0,235976312,5233295464059391,5233301349675855,5233301349722255,5233295487529872
221,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,302,257775,257775,8388608,256,40960,0,116,20,32,64,0x0,0x7f91e3b88680,38293829,38293829,135746,306350640,131072,3920121993,306167832,0,15683962904,5233295464206256,5233301349722255,5233301373044319,5233295510927628
222,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,304,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,314226,314226,16992,2513816,250000,203845698,2372048,0,822176520,5233295464329196,5233301373055839,5233301373234559,5233295511150585
223,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,306,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,102748,102748,16879,821992,65536,58226979,680814,0,234690756,5233295464447247,5233301373246879,5233301373293439,5233295511244610
224,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,307,257775,257775,8388608,256,40960,0,116,20,32,64,0x0,0x7f91e3b88680,38210438,38210438,132473,305683512,131072,3914581784,305505936,0,15661802664,5233295464593350,5233301373293231,5233301396586814,5233295534598684
225,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,309,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,316157,316157,16949,2529264,250000,198025096,2386091,0,798909692,5233295464718254,5233301396598492,5233301396774332,5233295534819006
