Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
225,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,309,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1360332,152438920,5233271928425900,5233301396598492,5233301396774332,5233271998512185
226,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,311,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,1038018,116249376,5233271928540365,5233301396786492,5233301396834172,5233271998598056
227,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,312,256528,256528,8388608,256,40960,0,116,20,32,64,0x0,0x7efc0b668680,524288,85058978,9525887752,5233271928678944,5233301396834172,5233301420165675,5233272021954474
228,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,314,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1512276,169361472,5233271928795652,5233301420177034,5233301420350794,5233272022166410
229,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,316,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,564006,63180000,5233271928904055,5233301420362954,5233301420411114,5233272022249826
230,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,317,256528,256528,8388608,256,40960,0,116,20,32,64,0x0,0x7efc0b668680,524288,85146928,9535625496,5233271929038617,5233301420411114,5233301443707737,5233272045619799
231,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,319,256528,256528,1048576,128,61440,0,8,144,48,64,0x0,0x7efc0b1f8680,65536,129754316,14532624416,5233272053627027,5233301450172209,5233301485581307,5233272089238758
232,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,322,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,970754,108814152,5233272089239860,5233301485680985,5233301485860665,5233272089628527
233,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,323,256528,256528,1048576,128,61440,0,8,144,48,64,0x0,0x7efc0b1f8680,65536,129722088,14528924368,5233272089511388,5233301485860665,5233301521255363,5233272125126615
234,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,324,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1532914,171672552,5233272089608800,5233301521255363,5233301521431363,5233272125270785
235,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,325,256528,256528,1048576,128,61440,0,8,144,48,64,0x0,0x7efc0b1f8680,65536,129735446,14530412376,5233272089749563,5233301521431360,5233301556836298,5233272160715443
236,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,326,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1566176,175402752,5233272089848088,5233301556836298,5233301557015336,5233272160922721
237,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,327,256528,256528,1048576,128,61440,0,8,144,48,64,0x0,0x7efc0b1f8680,65536,129695758,14525897168,5233272089981206,5233301557015336,5233301592404274,5233272196357441
238,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,328,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1526392,171111184,5233272090071465,5233301592404274,5233301592580434,5233272196566752
